album_id,title,record_type,record_label,critic_score,user_score,released,genres,tags,artists
19,Debut,LP,One Little Indian,70.0,75.0,1993-07-13,"['Art Pop', 'House', 'Dance-Pop', 'Downtempo']","['passionate,  romantic,  female vocals,  playful,  rhythmic,  eclectic,  love,  party,  sensual,  lush,  ethereal,  melodic,  optimistic,  warm']",['Björk']
20,Post,LP,One Little Indian,94.0,78.0,1995-06-15,"['Art Pop', 'Electronic', 'Trip Hop', 'Alternative Dance', 'Tribal House']","['eclectic,  playful,  passionate,  female vocals,  futuristic,  quirky,  lush,  melodic,  abstract,  atmospheric,  romantic,  rhythmic,  anxious,  surreal,  bittersweet,  cryptic,  melancholic,  urban,  love,  dense,  progressive']",['Björk']
1,Homogenic,LP,One Little Indian,95.0,81.0,1997-09-22,"['Art Pop', 'Electronic', 'Trip Hop', 'IDM', 'Chamber Pop']","['cold,  passionate,  ethereal,  lush,  female vocals,  atmospheric,  introspective,  anxious,  winter,  romantic,  orchestral,  melancholic,  abstract,  futuristic,  poetic,  dense,  complex,  melodic,  eclectic,  uncommon time signatures,  sentimental']",['Björk']
2,Vespertine,LP,One Little Indian,85.0,83.0,2001-08-27,"['Art Pop', 'Electronic', 'Ambient Pop', 'Glitch Pop', 'Microsound']","['sensual,  romantic,  sexual,  winter,  ethereal,  atmospheric,  lush,  introspective,  female vocals,  soothing,  passionate,  bittersweet,  poetic,  mysterious,  melancholic,  cold,  longing,  melodic,  love,  sentimental,  mellow,  complex,  progressive,  optimistic']",['Björk']
3,Medúlla,LP,One Little Indian,81.0,71.0,2004-08-30,"['Art Pop', 'A cappella', 'Experimental', 'Inuit Vocal Games', 'Choral', 'Progressive Pop', 'Electronic', 'Throat Singing']","['avant-garde,  a cappella,  female vocals,  ethereal,  passionate,  choral,  poetic,  romantic,  melodic,  sparse,  cold,  complex,  winter,  surreal,  pagan,  aquatic,  conscious,  concept album,  raw']",['Björk']
4,Volta,LP,One Little Indian,75.0,61.0,2007-05-07,"['Art Pop', 'Electronic', 'Tribal House', 'Progressive Pop', 'Post-Industrial', 'Folktronica']","['passionate,  female vocals,  anxious,  energetic,  political,  tribal,  eclectic,  abstract,  warm,  anthemic,  surreal,  quirky,  manic,  hypnotic,  aggressive,  futuristic']",['Björk']
5,Biophilia,LP,One Little Indian,82.0,66.0,2011-10-10,"['Art Pop', 'Electronic', 'Ambient Pop', 'Glitch Pop', 'Avant-Folk', 'IDM']","['avant-garde,  uncommon time signatures,  female vocals,  concept album,  nature,  ethereal,  passionate,  poetic,  sparse,  atmospheric,  progressive,  space,  existential,  complex,  cryptic,  mellow,  peaceful,  meditative,  philosophical,  educational,  nocturnal,  hypnotic']",['Björk']
6,Vulnicura,LP,One Little Indian,86.0,73.0,2015-01-20,"['Art Pop', 'Glitch Pop', 'Ambient Pop', 'Chamber Pop']","['breakup,  sombre,  melancholic,  female vocals,  concept album,  serious,  sad,  sentimental,  introspective,  lush,  poetic,  passionate,  atmospheric,  cold,  anxious,  complex,  chamber music,  bittersweet,  progressive,  depressive,  ethereal']",['Björk']
7,Utopia,LP,One Little Indian,80.0,65.0,2017-11-24,"['Art Pop', 'Glitch Pop', 'Ambient Pop', 'Folktronica', 'Birdsong', 'Deconstructed Club', 'Chamber Folk']","['ethereal,  female vocals,  love,  nature,  lush,  atmospheric,  peaceful,  passionate,  warm,  dense,  orchestral,  abstract,  melodic,  bittersweet,  spiritual,  avant-garde,  forest,  futuristic,  spring,  longing']",['Björk']
8,Darkbloom,EP,Hippos in Tanks,71.0,69.0,2011-04-19,"['Synthpop', 'Ambient Pop', 'Chillwave', 'Dream Pop', 'Ethereal Wave']","['rhythmic,  female vocals,  anxious,  nocturnal,  longing,  abstract,  playful,  love,  bittersweet,  passionate,  ethereal,  male vocals,  mechanical']",['Grimes']
